Voyage date,Vessel name,Vessel master,Vessel cargo,Port of origin,Destination port,Voyage type
1853-10-14,Alice,Thomas Cooper,Ballast,Victoria,Olympia,Inbound
1853-10-14,Anson,John W. Wilson,Merchandise,San Francisco,Olympia,Inbound
1853-10-15,Anson,John W. Wilson,Piles & Square Timber,Port Townsend,San Francisco,Outbound
1853-10-20,Cynosure,E. S. Fowler,625 [illeg] Salmon/625 Blls salmon,Port Townsend,San Francisco,Outbound
1853-10-24,Cynosure,Enoch S. Fowler,Ballast,San Francisco,Olympia,Inbound
1853-10-24,Virginia,William Robertson,Merchandise,San Francisco,Olympia,Inbound
1853-10-28,Tarquina,William Robinson,Merchandise,San Francisco,Olympia,Inbound
1853-11-10,Cyrus,William H. Norton,Merchandise,San Francisco,Olympia,Inbound
1853-11-10,Sarah Warren,,Merchandise,San Francisco,Olympia,Inbound
1853-11-10,Lucas,John C. Caggett,Ballast,,Olympia,Inbound
1853-11-11,Cyrus,William H. Norton,Merchandise,San Francisco,Olympia,Inbound
1853-11-21,Otter,Joseph Miller,,Victoria,Olympia,Inbound
1853-11-22,Burnham,B. Kinney,Merchandise,San Francisco,Olympia,Inbound
1853-11-23,Ariana,John Ankers,,San Francisco,Olympia,Inbound
1853-11-23,Otter,Joseph Miller,,Port Townsend,Victoria,Outbound
1853-11-25,Honolulu Packet,D. Morrison,Ballast,San Francisco,Olympia,Inbound
1853-11-25,Otter,Joseph Miller,Ballast,Victoria,Olympia,Inbound
1853-11-25,Honolulu Packet,D. Morrison,Ballast,Victoria,Olympia,Inbound
1853-12-04,Honolulu Packet,H. Morrison/H Menson,,Port Townsend,Vancouver Island,Outbound
1853-12-10,Lucas,John C. Caggett,Ballast,San Francisco,Olympia,Inbound
1853-12-24,Otter,Joseph Miller,,Victoria,Olympia,Inbound
1853-12-24,Lucas,Joseph Magget/Joseph Dagget,Sq Timber,Port Townsend,San Francisco,Outbound
1854-01-02,Maid of Jelpha,R. A. Beamais,Ballast,San Francisco,Olympia,Inbound
1854-01-02,Alice,Thomas Cooper,Ballast,,Olympia,Inbound
1854-01-02,Maid of Jelpha,R. A. Beamais,Ballast,San Francisco,Olympia,Inbound
1854-01-02,Alice,Thomas Cooper,Ballast,Vancouver Island,Olympia,Inbound
1854-01-05,Elvira Harker,J. J. Marshall,Ballast,San Francisco,Olympia,Inbound
1854-01-05,Elisa Harbeck,J. J. Marshall,Ballast,San Francisco,Olympia,Inbound
1854-01-07,Alice,Thomas Cooper,Ballast,Cowichan,Olympia,Inbound
1854-01-12,Alice,Thomas Cooper,Ballast,Victoria,Olympia,Inbound
1854-01-16,Alice,Thomas Cooper,Ballast,Victoria,Olympia,Inbound
1854-01-16,Alice,Thomas Cooper,Live Stock,Port Townsend,Victoria,Outbound
1854-01-23,Otter,Joseph Miller,Ballast,Victoria,Olympia,Inbound
1854-01-25,Allen,Tucker,,Victoria,Olympia,Inbound
1854-01-26,Otter,Joseph Miller,Ballast,Victoria,Olympia,Inbound
1854-01-26,Otter,Joseph Miller,"Cattle, horses, tars, wool, & provisisons",Port Townsend,Victoria,Outbound
1854-01-27,Ariana,John Ankers,Merchandise,San Francisco,Olympia,Inbound
1854-01-27,Ariana,John Ankers,Merchandise,San Francisco,Olympia,Inbound
1854-02-01,Alice,Thomas Cooper,Merchandise,Victoria,Olympia,Inbound
1854-02-03,Alice,Thomas Cooper,Merchandise,Victoria,Olympia,Inbound
1854-02-03,Otter,Joseph Miller,Ballast,Victoria,Olympia,Inbound
1854-02-04,Otter,Joseph Miller,Ballast,Victoria,Olympia,Inbound
1854-02-20,William Allen,Alex McLean,Ballast,San Francisco,Olympia,Inbound
1854-03-01,Virginia,William Robertson,Merchandise,San Francisco,Olympia,Inbound
1854-03-08,Ariana,John Ankers,,San Francisco,Olympia,Inbound
1854-03-22,Louika,Louis I. Corwin,Merchandise,Honolulu,Olympia,Inbound
1854-03-24,Alice,James Cooper,Ballast,Victoria,Olympia,Inbound
1854-04-01,Alice,James Cooper,Ballast,Victoria,Olympia,Inbound
1854-04-10,Nile,Samuel Rose,Merchandise,Honolulu,Olympia,Inbound
1854-04-10,Ariana,John Ankers,,Port Townsend,San Francisco,Outbound
1854-04-17,R. B. Potter,Enoch S. Fowler,Merchandise,San Francisco,Olympia,Inbound
1854-04-20,Louika,J. C. Allen,Sawed Timber & spans,Port Townsend,Honolulu,Outbound
1854-04-25,Sarah Stone,Thomas W. Slater,,Victoria,Olympia,Inbound
1854-04-26,Nile,Samuel Rose,Merchandise,Honolulu,Olympia,Inbound
1854-05-01,Lucas,John C. Caggett,Ballast,San Francisco,Olympia,Inbound
1854-06-01,Helen,Robert Johnson,Passengers & furniture,Seattle,Olympia,Inbound
1854-06-01,Helen,Robert Johnson,Passengers & furniture,Seattle,Port Townsend,Inbound
1854-06-22,Louika,Louis I. Corwin,Merchandise,Honolulu,Olympia,Inbound
1854-06-26,H. C. Page,William Utters,Lumber,Victoria,Olympia,Inbound
1854-07-05,Senator,Henry Wessels,Ballast,San Francisco,Olympia,Inbound
1854-07-05,Senator,M. / Joseph / Henry Dressil/Gressels/Wessels,Ballast,San Francisco,Port Townsend,Inbound
1854-07-11,Kaluna,Samuel F. Candage,Ballast,Honolulu,Olympia,Inbound
1854-07-11,H. C. Page,William Miller / Otter / Mitter,Lumber,Victoria,Port Townsend,Inbound
1854-07-15,Helen,Robert Johnson,,,Port Townsend,Inbound
1854-07-20,Senator,Henry Wessels,Ballast,Port Townsend,San Francisco,Outbound
1854-07-22,H. C. Page,William Miller / Otter / Mitter,Livestock,Victoria,Port Townsend,Inbound
1854-07-24,H. C. Page,William Otter,,Port Townsend,Victoria,Outbound
1854-07-25,Julia Ann,Ford,,San Francisco,Port Townsend,Inbound
1854-08-03,Helen,George Hawkins,,Victoria,Port Townsend,Inbound
1854-08-12,Tarquina,Edward Myers,125-852 [illeg],Honolulu,Port Townsend,Inbound
1854-08-12,Tarquina,Edward Myers,Merchandise,San Francisco,Port Townsend,Inbound
1854-08-12,Nile,Samuel Rose,Merchandise,Honolulu,Port Townsend,Inbound
1854-08-12,Tarquina,E. Myers,Sawed Lumber,Port Townsend,Honolulu,Outbound
1854-08-20,J. B. Brown,Mayhew,Lumber,Port Townsend,San Francisco,Outbound
1854-08-26,J. B. Brown,J. Mayhew,,Honolulu,Port Townsend,Inbound
1854-08-30,Helen,George Hawkins,Merchandise,Victoria,Port Townsend,Inbound
1854-09-01,Louika,William H. Johnson,Merchandise,Honolulu,Port Townsend,Inbound
1854-09-01,Louika,William H. Johnson,Merchandise,Honolulu,Port Townsend,Inbound
1854-09-02,Helen,George Hawkins,,Victoria,Port Townsend,Inbound
1854-09-02,Helen,George Hawkins,,Victoria,Port Townsend,Inbound
1854-09-09,R. B. Potter,Enoch S. Fowler,250 Gall oil,Vancouver Island,Port Townsend,Inbound
1854-09-09,J. B. Brown,J. Mayhew,,San Francisco,Port Townsend,Inbound
1854-09-10,H. C. Page,William Miller / Otter / Mitter,,Bellingham Bay,Port Townsend,Inbound
1854-09-10,Kaluna,C. J. Pandage,,Port Townsend,Honolulu,Outbound
1854-09-11,H. C. Page,William Otter,,Port Townsend,Bellingham Bay,Outbound
1854-09-14,Nile,Samuel Rose,,Port Townsend,Honolulu,Outbound
1854-09-23,Kaluna,Samuel F. Candage,,Honolulu,Port Townsend,Inbound
1854-09-23,Kaluna,Samuel F. Candage,,Honolulu,Port Townsend,Inbound
1854-09-27,Major Tompkins,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1854-09-27,Major Tompkins,James M. Hunt,Ballast,Olympia,Port Townsend,Inbound
1854-09-28,Harriet Thompson,Thomas Johnson,,Port Townsend,Seattle,Outbound
1854-09-29,Ella Frances,Benjamin Mitchell,Ballast,San Francisco,Port Townsend,Inbound
1854-09-29,Harriet Thompson,Thomas Johnson,Assorted  ,San Francisco,Port Townsend,Inbound
1854-09-29,Francisco,Benjamin F. Smith,Assorted  ,Astoria,Port Townsend,Inbound
1854-09-29,Kaluna,,,Port Townsend,Honolulu,Outbound
1854-09-29,St. Lawrence,August C. Randall,Ballast,Port Townsend,Seattle,Outbound
1854-09-29,Ella Frances,Mitchell,Lumber,Port Townsend,Australia,Outbound
1854-09-29,Harriet Thompson,Thomas Johnston,Assorted cargo,Port Townsend,Seattle,Outbound
1854-09-29,Francisco,Bay F. Seville/Benj. F. Smith,Assorted cargo,Port Townsend,Nisqually,Outbound
1854-09-30,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Honolulu,Outbound
1854-09-30,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Victoria,Outbound
1854-10-02,Carbon,A. W. Sampson,Ballast,Astoria,Port Townsend,Inbound
1854-10-02,Prince Albert,William B. Hanwork / Mamock / Mannork,Assorted  ,London,Port Townsend,Inbound
1854-10-02,Major Tompkins,James M. Hunt,Assorted  ,Victoria,Port Townsend,Inbound
1854-10-02,Carbon,A. W. Sampson,Ballast,San Francisco,Port Townsend,Inbound
1854-10-02,Prince Albert,William B. Hanwork / Mamock / Mannork,Assorted  ,London,Port Townsend,Inbound
1854-10-02,Major Tompkins,James M. Hunt,Assorted,Victoria,Port Townsend,Inbound
1854-10-02,Louika,William H. Johnson,Lumber,Port Townsend,Honolulu,Outbound
1854-10-02,Louika,William H. Johnson,Lumber,Port Townsend,Honolulu,Outbound
1854-10-03,Rio Grande,William J. Wilson,Ballast,San Francisco,Port Townsend,Inbound
1854-10-03,Helen,George Hawkins,Ballast,Port Townsend,Victoria,Outbound
1854-10-03,R. B. Potter,E. S. Fowler,Ballast,Port Townsend,Olympia,Outbound
1854-10-03,Helen,George Hawkins,Ballast,Port Townsend,Victoria,Outbound
1854-10-03,R. B. Potter,E. S. Fowler,Ballast,Port Townsend,Olympia,Outbound
1854-10-05,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Olympia,Outbound
1854-10-06,Francisco,Benjamin F. Smith,,Nisqually,Port Townsend,Inbound
1854-10-06,Prince Albert,William B. Hanwork,Assorted cargo,Port Townsend,Nanaimo,Outbound
1854-10-06,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Olympia,Outbound
1854-10-11,Major Tompkins,James M. Hunt,Assorted  ,Victoria,Port Townsend,Inbound
1854-10-11,Major Tompkins,James M. Hunt,Assorted  ,Victoria,Port Townsend,Inbound
1854-10-11,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Olympia,Outbound
1854-10-12,Major Tompkins,James M. Hunt,Assorted  ,Olympia,Port Townsend,Inbound
1854-10-12,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Victoria,Outbound
1854-10-14,Francisco,Benjamin F. Smith,Ballast,Seattle,Port Townsend,Inbound
1854-10-20,J. B. Brown,Mayhew,,Port Townsend,Australia,Outbound
1854-10-20,Prince Albert,William B. Hanwork,,Port Townsend,Nanaimo,Outbound
1854-10-20,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Olympia,Outbound
1854-10-21,Major Tompkins,James M. Hunt,Assorted  ,Victoria,Port Townsend,Inbound
1854-10-21,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Olympia,Outbound
1854-10-23,Rio Grande,William J. Wilson,Ballast,San Francisco,Port Townsend,Inbound
1854-10-23,Rio Grande,William J. Wilson,Ballast,Port Townsend,Seattle,Outbound
1854-10-24,Helen,George Hawkins,Ballast,Victoria,Port Townsend,Inbound
1854-10-24,Helen,George Hawkins,Ballast,San Francisco,Port Townsend,Inbound
1854-10-24,Helen,George Hawkins,Ballast,Port Townsend,Olympia,Outbound
1854-10-24,Helen,George Hawkins,Ballast,Port Townsend,Seattle,Outbound
1854-10-27,St. Lawrence,August C. Randall,Ballast,San Francisco,Port Townsend,Inbound
1854-10-27,St. Lawrence,August C. Randall,Ballast,San Francisco,Port Townsend,Inbound
1854-10-27,St. Lawrence,August C. Randall,Ballast,Olympia,Port Townsend,Inbound
1854-10-28,Major Tompkins,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1854-10-28,Major Tompkins,James M. Hunt,Ballast,San Francisco,Port Townsend,Inbound
1854-10-28,Major Tompkins,James M. Hunt,Ballast,,,Outbound
1854-10-28,Major Tompkins,Hurst,,Port Townsend,Victoria,Outbound
1854-10-29,Harriet Thompson,Thomas Johnson,Assorted  ,San Francisco,Port Townsend,Inbound
1854-11-01,Mason,Steven Wilkinson,Ballast,San Francisco,Port Townsend,Inbound
1854-11-01,Mason,G. Milkinson / Steven Wilkinson,Ballast,Victoria,Port Townsend,Inbound
1854-11-02,Major Tompkins,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1854-11-02,Major Tompkins,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1854-11-02,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Olympia,Outbound
1854-11-07,Carbon,A. W. Samson,,Port Townsend,Honolulu,Outbound
1854-11-07,Carbon,A. W. Sampson,,Port Townsend,Honolulu,Outbound
1854-11-09,Francisco,B. J. Smith,Lumber,Port Townsend,Nisqually,Outbound
1854-11-11,St. Lawrence,Randall,Lumber,Port Townsend,Australia,Outbound
1854-11-11,St. Lawrence,A. C. Rand,Lumber,Port Townsend,Australia,Outbound
1854-11-15,Major Tompkins,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1854-11-15,Major Tompkins,James M. Hunt,Ballast,Olympia,Port Townsend,Inbound
1854-11-15,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Olympia,Outbound
1854-11-21,Major Tompkins,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1854-11-21,Major Tompkins,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1854-11-21,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Olympia,Outbound
1854-11-21,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Olympia,Outbound
1854-11-24,Cyrus,William H. Diggs,Assorted  ,"Olympia, San Francisco",Port Townsend,Inbound
1854-11-24,Rio Grande,William J. Wilson,Ballast,"Olympia, San Francisco",Port Townsend,Inbound
1854-11-24,Cyrus,William H. Diggs,Assorted  ,San Francisco,Port Townsend,Inbound
1854-11-24,Cyrus,Diggs,Assorted cargo,Port Townsend,Steilacoom,Outbound
1854-12-02,Mason,S. Wilkinson,Ballast,Port Townsend,Melbourne,Outbound
1854-12-02,Mason,G. Wilkinson,Lumber,Port Townsend,Melbourne,Outbound
1854-12-05,Major Tompkins,James M. Hunt,,Olympia,Port Townsend,Inbound
1854-12-06,Major Tompkins,James M. Hunt,,Port Townsend,Victoria,Outbound
1854-12-07,Live Yankee,A. B. Gove,Ballast,San Francisco,Port Townsend,Inbound
1854-12-07,Live Yankee,A. W. Gove,Ballast,Port Townsend,Olympia,Outbound
1854-12-08,Major Tompkins,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1854-12-08,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Olympia,Outbound
1854-12-10,Rio Grande,William J. Wilson,Lumber,Seattle,Port Townsend,Inbound
1854-12-10,Cyrus,William H. Diggs,Ballast,Steilacoom,Port Townsend,Inbound
1854-12-11,Cyrus,Diggs,Ballast,Port Townsend,Nanaimo,Outbound
1854-12-11,Rio Grande,Wilson,Lumber,Port Townsend,Australia,Outbound
1854-12-11,Rio Grande,William J. Wilson,Lumber,Port Townsend,Ports in South Pacific,Outbound
1854-12-11,Cyrus,Diggs,Ballast,Port Townsend,Nanaimo,Outbound
1854-12-17,Major Tompkins,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1854-12-18,Major Tompkins,James M. Hunt,Fur & livestock,Olympia,Port Townsend,Inbound
1854-12-18,Major Tompkins,James M. Hunt,Ballast [crossed out words under],Port Townsend,Olympia,Outbound
1854-12-18,Major Tompkins,James M. Hunt,Furs & livestock,Port Townsend,Victoria,Outbound
1854-12-19,Major Tompkins,James M. Hunt,100 blls salmon,Victoria,Port Townsend,Inbound
1854-12-19,Major Tompkins,James M. Hunt,Salmon,Port Townsend,Olympia,Outbound
1854-12-20,San Diego,C. Crofton,Assorted  ,Seattle,Port Townsend,Inbound
1854-12-20,San Diego,C. Crofton,Assorted  ,Seattle,Port Townsend,Inbound
1854-12-20,San Diego,C. Crofton,Assorted cargo,Port Townsend,Vancouver Island,Outbound
1854-12-20,San Diego,C. Crofton,Assorted cargo,Port Townsend,Vancouver Island,Outbound
1854-12-24,Louika,G. W. Wilfong,Assorted  ,Honolulu,Port Townsend,Inbound
1854-12-24,Louika,G. W. Wilfong,Assorted cargo,Port Townsend,Olympia,Outbound
1854-12-26,Louika,G. W. Wilfong,Assorted  ,Honolulu,Port Townsend,Inbound
1854-12-26,Major Tompkins,James M. Hunt,Ballast,Olympia,Port Townsend,Inbound
1854-12-26,Major Tompkins,James M. Hunt,48 cases [illeg] leath,Port Townsend,Victoria,Outbound
1854-12-27,Major Tompkins,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1854-12-30,Nile,Samuel Rose,Ballast,Honolulu,Port Townsend,Inbound
1854-12-30,Nile,Samuel Rose,Assorted  ,Honolulu,Port Townsend,Inbound
1854-12-30,Nile,Sam Rose,Assorted cargo,Port Townsend,Seattle,Outbound
1855-01-01,John N. Gossler,Charles Emerson,Ballast,,Port Townsend,Inbound
1855-01-01,Major Tompkins,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1855-01-01,John N. Gossler,Charles Emerson,Ballast,San Francisco,Port Townsend,Inbound
1855-01-01,Major Tompkins,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1855-01-01,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Olympia,Outbound
1855-01-01,Major Tompkins,James M. Hunt,Ballast,Port Townsend,Olympia,Outbound
1855-01-05,H. C. Page,William Miller / Otter / Mitter,Ballast,Bellingham Bay,Port Townsend,Inbound
1855-01-05,H. C. Page,William Miller / Otter / Mitter,Lumber,Bellingham Bay,Port Townsend,Inbound
1855-01-05,H. C. Page,William Miller,Lumber,Port Townsend,Victoria,Outbound
1855-01-05,H. C. Page,William Otter,Lumber,Port Townsend,Victoria,Outbound
1855-01-06,Major Tompkins,James M. Hunt,1 stove,Olympia,Port Townsend,Inbound
1855-01-06,Major Tompkins,James M. Hunt,Merchandise,Port Townsend,Victoria,Outbound
1855-01-06,Major Tompkins,James M. Hunt,1 Stove,Port Townsend,Victoria,Outbound
1855-01-11,Major Tompkins,James M. Hunt,Merchandise,Olympia,Port Townsend,Inbound
1855-01-11,H. C. Page,Henry Roeder,Ballast,Victoria,Port Townsend,Inbound
1855-01-11,H. C. Page,Henry Roeder,Ballast,Victoria,Port Townsend,Inbound
1855-01-12,H. C. Page,Henry Roeder,Ballast,Port Townsend,Bellingham Bay,Outbound
1855-01-12,John N. Gossler,Charles Emerson,Ballast,Port Townsend,Port Discovery,Outbound
1855-01-12,H. C. Page,Henry Roeder,Ballast,Port Townsend,Bellingham Bay,Outbound
1855-01-16,Cyrus,,,,Port Townsend,Inbound
1855-01-16,Cyrus,William H. Diggs,Ballast,Victoria,Port Townsend,Inbound
